Sales Organization;Item (SD);Sales Document;Status;Status;Sales Document Type;Sold-to party;Name 1;Material;Description;Plant;Confirmed Quantity;Order Quantity;Unit of measure;Delivery Date;Ship-to party;Ship-To Name;Purchase order no.;Goods Issue Date
A131;30;137245142;Not delivered;A;ZKB;348764;FEDEA S.A.;00097081708;BRV54621SE E3 SOY 1M UT BG40KG AR;C336;700;700;ZPB;10/09/2021;1843795;FEDEA S.A.;SOJA846660 TRANSFERE;09/09/2021
A131;10;137245130;Not delivered;A;ZOR;750070;ADECO AGROPECUARIA SA;00097059701;ENLIST BTLHPE20L ARG;C077;2.400,000;2.400,000;L;06/09/2021;2003492;FEDEA S.A.;4/OC 100382079 -C647;03/09/2021
A131;10;137245106;Not delivered;A;ZKB;827374;DASER AGRO S.A.;00011093498;EXALTSC BTLHPE4X4X1L ARG;C077;500,000;500,000;L;30/11/2021;827374;DASER AGRO S.A.;C0000006596 TRANSFER;29/11/2021
A131;20;137245106;Not delivered;A;ZKB;827374;DASER AGRO S.A.;00011097385;EXPEDITION BTLCOX4X5L ARG;C077;10.000,000;10.000,000;L;30/11/2021;827374;DASER AGRO S.A.;C0000006596 TRANSFER;29/11/2021
A131;30;137245106;Not delivered;A;ZKB;827374;DASER AGRO S.A.;00000298079;INTREPID240SC BTLHPE4X5L ARG;C077;600,000;600,000;L;30/11/2021;827374;DASER AGRO S.A.;C0000006596 TRANSFER;29/11/2021
A131;40;137245106;Not delivered;A;ZKB;827374;DASER AGRO S.A.;00011029302;QUINTAL BTLHPE4X5L ARG;C077;3.000,000;3.000,000;L;30/11/2021;827374;DASER AGRO S.A.;C0000006596 TRANSFER;29/11/2021
A131;10;137245103;Not delivered;A;ZKB;802953;MERSAGRO SA;00097077143;PIXXARO BTLFPE4X5L ARG;C077;20,000;20,000;L;22/09/2021;802953;MERSAGRO SA;C0000006590 Z11;21/09/2021
A131;20;137245103;Not delivered;A;ZKB;802953;MERSAGRO SA;00011097385;EXPEDITION BTLCOX4X5L ARG;C077;340,000;340,000;L;30/12/2021;802953;MERSAGRO SA;C0000006590 Z11;29/12/2021
A131;30;137245103;Not delivered;A;ZKB;802953;MERSAGRO SA;00000298079;INTREPID240SC BTLHPE4X5L ARG;C077;140,000;140,000;L;30/12/2021;802953;MERSAGRO SA;C0000006590 Z11;29/12/2021
A131;40;137245103;Partially delivered;B;ZKB;802953;MERSAGRO SA;00099069588;QUINTALXTRA BTLHPE4X5L ARG;C077;60,000;60,000;L;30/12/2021;802953;MERSAGRO SA;C0000006590 Z11;29/12/2021
