Delivery;Item;Reference document;Delivery Type;Sold-to party;Name of sold-to party;Material;Description;Plant;Delivery quantity;Sales unit;Deliv. date(From/to);Ship-to party;Name of the ship-to party;Sales Organization;Goods Issue Date
858650866;10;4230334879;ZLC;348764;FEDEA S.A.;00097080398;NTO2.5CP G2 CP SUN LCLMD BG150UK AR;C049;3;ZPB;09/09/2021;1843799;FEDEA S.A.;A131;01/09/2021
858650890;10;137126009;LF;348767;SUMIDAS JV S.A.;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;236;ZPB;03/09/2021;10007404;SUMIDAS;A131;01/09/2021
858650893;10;137205816;LF;348767;SUMIDAS JV S.A.;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;700;ZPB;03/09/2021;2068241;SUMIDAS JV S.A.;A131;01/09/2021
858650956;10;137173545;LF;422062;COTAGRO COOPERATIVA;00097073234;NEXT22.6PWU SC17 PWU COR CT RCMQ BG80 AR;C049;1;ZPB;01/09/2021;10014053;MORETO DEPOSITO TERCEROS;A131;31/08/2021
858651012;10;137233279;LF;2385007;LIPSA SRL;00097079281;BRV8472PWUN C16 PWU COR CT CMQL BG80UKAR;C049;100;ZPB;03/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;01/09/2021
858651012;20;137233279;LF;2385007;LIPSA SRL;00097079255;BRV8472PWUN R16 PWU COR CT CMQL BG80UKAR;C049;221;ZPB;03/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;01/09/2021
858651012;30;137233279;LF;2385007;LIPSA SRL;00097079259;BRV8472PWUN SPC PWU COR CT CMQL BG80UKAR;C049;389;ZPB;03/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;01/09/2021
858651014;10;137233279;LF;2385007;LIPSA SRL;00099017483;RFG1RR R16 RR COR RCMQ BG80UK AR;C344;211;ZPB;03/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;01/09/2021
858651015;10;137233279;LF;2385007;LIPSA SRL;00097071079;510PWU C18 PWU COR CT CMQL BG80UK AR;C344;224;ZPB;15/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;13/09/2021
858651027;10;137184003;LF;421990;CARGILL SACEI;00097029356;ACRUX PWE C21 PWE COR RCMQ BG80UK AR;C344;450;ZPB;08/09/2021;1843381;CARGILL SACEI;A131;06/09/2021
858651192;10;137139366;LF;1108872;AGRO LAJITAS SA;00097079281;BRV8472PWU C16 PWU COR CT CMQL BG80UK AR;C049;68;ZPB;06/09/2021;1843007;AGRO LAJITAS SA;A131;31/08/2021
858651194;10;137139374;LF;1108872;AGRO LAJITAS SA;00097079281;BRV8472PWU C16 PWU COR CT CMQL BG80UK AR;C049;232;ZPB;06/09/2021;1843006;AGRO LAJITAS SA;A131;31/08/2021
858651194;20;137139374;LF;1108872;AGRO LAJITAS SA;00097079283;BRV8472PWU C18 PWU COR CT CMQL BG80UK AR;C049;308;ZPB;06/09/2021;1843006;AGRO LAJITAS SA;A131;31/08/2021
858651195;10;137141487;LF;10005915;ESTANCIA DON MIGUEL SRL;00097079281;BRV8472PWU C16 PWU COR CT CMQL BG80UK AR;C049;68;ZPB;07/09/2021;10005915;ESTANCIA DON MIGUEL SRL;A131;31/08/2021
858651200;10;137148556;LF;422228;LOS ALUXES S A;00097079282;BRV8472PWU C17 PWU COR CT CMQL BG80UK AR;C049;41;ZPB;07/09/2021;1842910;ACEITERA GENERAL DEHEZA SA;A131;01/09/2021
858651208;10;137191276;LF;10016032;EL CASTIGADO SRL;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;30;ZPB;07/09/2021;10016032;EL CASTIGADO SRL;A131;31/08/2021
858651214;10;137195808;LF;10026935;TIERRA LEJANA SA;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;25;ZPB;07/09/2021;2352105;SURGEN SRL;A131;31/08/2021
858651215;10;137197903;LF;1193809;AGROPECUARIA POZO LARGO SA;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;80;ZPB;07/09/2021;1193809;AGROPECUARIA POZO LARGO SA;A131;01/09/2021
858651218;10;137210368;LF;421680;ACEITERA GENERAL DEHEZA SA;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;38;ZPB;06/09/2021;421680;ACEITERA GENERAL DEHEZA SA;A131;02/09/2021
858651219;10;137214586;LF;1108872;AGRO LAJITAS SA;00097079281;BRV8472PWUN C16 PWU COR CT CMQL BG80UKAR;C049;57;ZPB;06/09/2021;1843007;AGRO LAJITAS SA;A131;31/08/2021
858651223;10;4230334581;ZLC;348756;AMBITO DAS S.A.;00097029374;NEXT 22.6PWE C17 PWE COR RCMQ BG80UK AR;C049;51;ZPB;15/09/2021;1031885;AMBITO DAS S.A.;A131;14/09/2021
858651239;10;137139380;LF;1108872;AGRO LAJITAS SA;00097079282;BRV8472PWU C17 PWU COR CT CMQL BG80UK AR;C049;34;ZPB;06/09/2021;1843007;AGRO LAJITAS SA;A131;31/08/2021
858651240;10;137139632;LF;1220382;AGROCOMERCIAL SUARDI SRL;00097079282;BRV8472PWU C17 PWU COR CT CMQL BG80UK AR;C049;300;ZPB;04/09/2021;1220382;AGROCOMERCIAL SUARDI SRL;A131;01/09/2021
858651240;20;137139632;LF;1220382;AGROCOMERCIAL SUARDI SRL;00097079283;BRV8472PWU C18 PWU COR CT CMQL BG80UK AR;C049;187;ZPB;04/09/2021;1220382;AGROCOMERCIAL SUARDI SRL;A131;01/09/2021
858651242;10;137146213;LF;10006209;LAS LANZAS S.A.;00097079282;BRV8472PWU C17 PWU COR CT CMQL BG80UK AR;C049;205;ZPB;07/09/2021;1843011;AGRO LAJITAS SA;A131;31/08/2021
858651243;10;137157648;LF;422082;DISTRIBUIDORA ROYJO SRL;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;157;ZPB;06/09/2021;2245367;DISTRIBUIDORA ROYJO SRL;A131;02/09/2021
858651244;10;137164129;LF;10005410;CIA AZUCARERA SANTA LUCIA SA;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;63;ZPB;07/09/2021;1108872;AGRO LAJITAS SA;A131;01/09/2021
858651245;10;137172001;LF;1108872;AGRO LAJITAS SA;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;68;ZPB;07/09/2021;1843007;AGRO LAJITAS SA;A131;01/09/2021
858651246;10;137174445;LF;10026961;DO - FRA S.R.L.;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;79;ZPB;07/09/2021;1843011;AGRO LAJITAS SA;A131;31/08/2021
858651247;10;137174451;LF;10008851;DON GOTARDO S.R.L.;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;90;ZPB;07/09/2021;10017702;SURGEN SRL;A131;31/08/2021
858651248;10;137174455;LF;10027056;AGUARA S.A.;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;33;ZPB;07/09/2021;10017702;SURGEN SRL;A131;31/08/2021
858651249;10;137174460;LF;10027056;AGUARA S.A.;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;27;ZPB;07/09/2021;10017702;SURGEN SRL;A131;31/08/2021
