Delivery;Item;Reference document;Delivery Type;Sold-to party;Name of sold-to party;Material;Description;Plant;Delivery quantity;Sales unit;Deliv. date(From/to);Ship-to party;Name of the ship-to party;Sales Organization;Goods Issue Date
858653688;10;137245312;LF;430370;TATTERSALL AGROINSUMOS SA;00097050184;LOYANT BTLFPE4X5L CHL;L026;20,000;L;14/09/2021;1724481;TATTERSALL AGROINSUMOS SA;A133;07/09/2021
858653689;10;157041092;LF;423880;COOPERATIVA AGRICOLA LECHERA;00011051833;CLOSER BTLHPE12X1L CHL;L026;24,000;L;09/09/2021;2010877;COOPERATIVA AGRICOLA LECHERA;A133;02/09/2021
858653689;20;157041092;LF;423880;COOPERATIVA AGRICOLA LECHERA;00000004465;GARLON4 BTLFPE4X1GL CHL;L026;75,800;L;09/09/2021;2010877;COOPERATIVA AGRICOLA LECHERA;A133;02/09/2021
858653690;10;157041116;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000004465;GARLON4 BTLFPE4X1GL CHL;L026;227,400;L;14/09/2021;2034501;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653690;20;157041116;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000114811;LONTREL3A BTLPE4X1GL CHL;L026;181,920;L;14/09/2021;2034501;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653690;30;157041116;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000317158;STARANEXTRA BTLCOX12X1L CHL;L026;144,000;L;14/09/2021;2034501;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653690;40;157041116;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000104341;TORDON24K BTLHPE12X1L CHL;L026;180,000;L;14/09/2021;2034501;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653690;50;157041116;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000211718;TORDON24K BTLHPE4X4L CHL;L026;240,000;L;14/09/2021;2034501;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653691;10;157041116;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;600,000;L;14/09/2021;2034501;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653692;10;157041116;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00011018868;VENCEWEEDEXTRA BTLHPE12X1L CHL;L026;300,000;L;14/09/2021;2034501;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653692;20;157041116;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00097075653;PANZERGOLD TAL BTLHPE20L CHL;L026;2.080,000;L;14/09/2021;2034501;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653695;10;157041117;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000004465;GARLON4 BTLFPE4X1GL CHL;L026;90,960;L;14/09/2021;1724392;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653695;20;157041117;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000114811;LONTREL3A BTLPE4X1GL CHL;L026;90,960;L;14/09/2021;1724392;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653695;30;157041117;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000317158;STARANEXTRA BTLCOX12X1L CHL;L026;84,000;L;14/09/2021;1724392;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653695;40;157041117;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000104341;TORDON24K BTLHPE12X1L CHL;L026;60,000;L;14/09/2021;1724392;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653695;50;157041117;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000211718;TORDON24K BTLHPE4X4L CHL;L026;48,000;L;14/09/2021;1724392;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653696;10;157041117;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00011018868;VENCEWEEDEXTRA BTLHPE12X1L CHL;L026;120,000;L;14/09/2021;1724392;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653696;20;157041117;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00097075653;PANZERGOLD TAL BTLHPE20L CHL;L026;640,000;L;14/09/2021;1724392;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653698;10;157041118;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000004465;GARLON4 BTLFPE4X1GL CHL;L026;90,960;L;14/09/2021;1724391;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653698;20;157041118;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000114811;LONTREL3A BTLPE4X1GL CHL;L026;30,320;L;14/09/2021;1724391;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653698;30;157041118;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000317158;STARANEXTRA BTLCOX12X1L CHL;L026;24,000;L;14/09/2021;1724391;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653698;40;157041118;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00011018868;VENCEWEEDEXTRA BTLHPE12X1L CHL;L026;120,000;L;14/09/2021;1724391;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653698;50;157041118;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00097075653;PANZERGOLD TAL BTLHPE20L CHL;L026;640,000;L;14/09/2021;1724391;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653699;10;157041118;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;60,000;L;14/09/2021;1724391;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653700;10;157041119;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000004465;GARLON4 BTLFPE4X1GL CHL;L026;121,280;L;14/09/2021;1724393;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653700;20;157041119;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000114811;LONTREL3A BTLPE4X1GL CHL;L026;30,320;L;14/09/2021;1724393;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653700;30;157041119;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000317158;STARANEXTRA BTLCOX12X1L CHL;L026;12,000;L;14/09/2021;1724393;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653700;40;157041119;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000104341;TORDON24K BTLHPE12X1L CHL;L026;24,000;L;14/09/2021;1724393;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653700;50;157041119;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00000211718;TORDON24K BTLHPE4X4L CHL;L026;48,000;L;14/09/2021;1724393;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653701;10;157041119;LF;423876;COOPERATIVA AGRICOLA Y LECHERA;00097075653;PANZERGOLD TAL BTLHPE20L CHL;L026;640,000;L;14/09/2021;1724393;COOPERATIVA AGRICOLA Y LECHERA;A133;07/09/2021
858653733;10;4230335418;ZLC;348764;FEDEA S.A.;00097065296;MERITWGPACK CPKHPE 4X(1.4+0.1)KG ARG;C077;10;UNT;09/09/2021;1843795;FEDEA S.A.;A131;08/09/2021
858653733;11;;ZLC;348764;FEDEA S.A.;00097062225;MERITWG BTLHPE4X1.4KG ARG;C077;56,000;KG;09/09/2021;1843795;FEDEA S.A.;A131;08/09/2021
858653733;12;;ZLC;348764;FEDEA S.A.;00097062196;METSULFURON PCKLAM0.1KG ARG;C077;4,000;KG;09/09/2021;1843795;FEDEA S.A.;A131;08/09/2021
858653740;10;137157649;LF;421680;ACEITERA GENERAL DEHEZA SA;00097079283;BRV8472PWUN C18 PWU COR CT CMQL BG80UKAR;C049;235;ZPB;07/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;06/09/2021
858653740;20;137157649;LF;421680;ACEITERA GENERAL DEHEZA SA;00097079259;BRV8472PWUN SPC PWU COR CT CMQL BG80UKAR;C049;54;ZPB;07/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;06/09/2021
858653741;10;137210366;LF;421680;ACEITERA GENERAL DEHEZA SA;00097079283;BRV8472PWUN C18 PWU COR CT CMQL BG80UKAR;C049;565;ZPB;06/09/2021;421680;ACEITERA GENERAL DEHEZA SA;A131;02/09/2021
858653751;10;137214596;LF;421680;ACEITERA GENERAL DEHEZA SA;00097071079;510PWU C18 PWU COR CT CMQL BG80UK AR;C344;252;ZPB;05/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;02/09/2021
858653751;20;137214596;LF;421680;ACEITERA GENERAL DEHEZA SA;00097071080;510PWU C20 PWU COR CT CMQL BG80UK AR;C344;400;ZPB;05/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;02/09/2021
858653752;10;137214596;LF;421680;ACEITERA GENERAL DEHEZA SA;00097071079;510PWU C18 PWU COR CT CMQL BG80UK AR;C344;380;ZPB;05/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;02/09/2021
858653773;10;4230335426;ZLC;348756;AMBITO DAS S.A.;00097029370;NEXT 22.6PWE R21 PWE COR RCMQ BG80UK AR;C049;506;BAG;08/09/2021;1031885;AMBITO DAS S.A.;A131;07/09/2021
858653776;10;137245000;LF;422366;SA LA SIBILA;00000113039;TORDON24K BTLHPE4X5L ARG;C077;100,000;L;03/09/2021;1935112;SA LA SIBILA;A131;02/09/2021
858653792;10;4230335427;ZLC;348756;AMBITO DAS S.A.;00097029359;NEXT 22.6PWU R19 PWU COR RCMQ BG80UK AR;C344;200;BAG;09/09/2021;1031885;AMBITO DAS S.A.;A131;08/09/2021
858653859;10;137194820;LF;1519556;INSUMOS DEL CENTRO SA;00097070890;RFG22RRE SPC ERR COR CT RCMQ BG80UK AR;C049;5;ZPB;07/09/2021;1844308;INSUMOS DEL CENTRO SA;A131;06/09/2021
858653898;10;4230335450;ZLC;348756;AMBITO DAS S.A.;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;1.296;ZPB;08/09/2021;1031885;AMBITO DAS S.A.;A131;07/09/2021
858653899;10;4230335451;ZLC;348756;AMBITO DAS S.A.;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;204;ZPB;08/09/2021;1031885;AMBITO DAS S.A.;A131;07/09/2021
858653900;10;4230335452;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;600,000;L;14/09/2021;10000968;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858653901;10;4230335453;ZLC;698907;AGRO MATORRALES SA;00097071073;510PWU R18 PWU COR CT CMQL BG80UK AR;C344;50;ZPB;15/09/2021;698907;AGRO MATORRALES SA;A131;14/09/2021
858653903;10;4230335454;ZLC;348763;DESAB S.A.;00097071073;510PWU R18 PWU COR CT CMQL BG80UK AR;C344;340;ZPB;15/09/2021;348763;DESAB S.A.;A131;13/09/2021
858654452;10;137214596;LF;421680;ACEITERA GENERAL DEHEZA SA;00097071079;510PWU C18 PWU COR CT CMQL BG80UK AR;C344;1.368;ZPB;05/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;02/09/2021
858654453;10;137150276;LF;348763;DESAB S.A.;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;1.036;ZPB;02/09/2021;348763;DESAB S.A.;A131;31/08/2021
858654454;40;4230331608;ZLC;348764;FEDEA S.A.;00097071095;NEXT 22.6PWU C21 PWU COR CT CMQL BG80 AR;C049;323;ZPB;17/08/2021;1843795;FEDEA S.A.;A131;13/08/2021
858654456;10;4230334299;ZLC;802953;MERSAGRO SA;00097029370;NEXT 22.6PWE R21 PWE COR RCMQ BG80UK AR;C049;100;ZPB;07/09/2021;802953;MERSAGRO SA;A131;27/08/2021
858654466;10;137244717;LF;1883779;ESTABELECIMIENTOS LA NEGRA SA;00011118107;LONTREL3A BTLHPE4X5L ARG;C074;140,000;L;02/09/2021;1883779;ESTABELECIMIENTOS LA NEGRA SA;A131;02/09/2021
858654470;10;137237506;LF;693960;COOPERATIVA AGRICOLA GANADERA;00097071064;510PWU R20 PWU COR FS CT CMQL BG80UK AR;C344;110;ZPB;04/09/2021;693960;COOPERATIVA AGRICOLA GANADERA;A131;03/09/2021
858654500;10;137233603;LF;811682;RIBOLDI SA;00097071064;510PWU R20 PWU COR FS CT CMQL BG80UK AR;C344;1.000;ZPB;07/09/2021;811682;RIBOLDI SA;A131;03/09/2021
858654501;10;137237509;LF;693960;COOPERATIVA AGRICOLA GANADERA;00097071064;510PWU R20 PWU COR FS CT CMQL BG80UK AR;C344;85;ZPB;05/09/2021;693960;COOPERATIVA AGRICOLA GANADERA;A131;03/09/2021
858654502;10;137237526;LF;693960;COOPERATIVA AGRICOLA GANADERA;00097071064;510PWU R20 PWU COR FS CT CMQL BG80UK AR;C344;62;ZPB;05/09/2021;693960;COOPERATIVA AGRICOLA GANADERA;A131;03/09/2021
858654514;10;4230335558;ZLC;1358971;AGRONORTE CEREALES SRL;00011118107;LONTREL3A BTLHPE4X5L ARG;C077;300,000;L;09/09/2021;1358971;AGRONORTE CEREALES SRL;A131;08/09/2021
858654515;10;4230335559;ZLC;1358971;AGRONORTE CEREALES SRL;00011118107;LONTREL3A BTLHPE4X5L ARG;C077;300,000;L;09/09/2021;1358971;AGRONORTE CEREALES SRL;A131;08/09/2021
858654543;10;137241835;LF;421680;ACEITERA GENERAL DEHEZA SA;00000298079;INTREPID240SC BTLHPE4X5L ARG;C077;220,000;L;08/09/2021;2049959;ACEITERA GENERAL DEHEZA SA;A131;06/09/2021
858654545;10;137242108;LF;421680;ACEITERA GENERAL DEHEZA SA;00000298079;INTREPID240SC BTLHPE4X5L ARG;C077;300,000;L;07/09/2021;421680;ACEITERA GENERAL DEHEZA SA;A131;06/09/2021
858654569;10;4230335572;ZLC;1362701;COMPANIA DE INSUMOS Y GRANOS;00000113039;TORDON24K BTLHPE4X5L ARG;C077;1.000,000;L;07/09/2021;1362701;COMPANIA DE INSUMOS Y GRANOS;A131;06/09/2021
858654571;10;4230335573;ZLC;348763;DESAB S.A.;00011118107;LONTREL3A BTLHPE4X5L ARG;C077;140,000;L;07/09/2021;1843682;DESAB S.A.;A131;03/09/2021
858654588;10;4230335579;ZLC;679010;TECNOCALCHIN SRL;00099079300;507PWU C17 PWU COR RCMQ BG80UK AR;C344;401;ZPB;10/09/2021;679010;TECNOCALCHIN SRL;A131;09/09/2021
858654590;10;4230335580;ZLC;703320;CAVERZASI ORTIN Y CIA;00099075657;RFG2RR C16 RR COR RCMQ BG80UK AR;C344;60;ZPB;10/09/2021;1843444;CAVERZASI ORTIN Y CIA;A131;09/09/2021
858654623;10;137246496;LF;1261089;AGROPARTNERS SRL;00097073510;VESSARYA BTLFPE6L BOL;A987;5.004,000;L;06/09/2021;1261089;AGROPARTNERS SRL;A127;03/09/2021
858654631;10;137245591;LF;2291700;LDC SEMILLAS;00097078681;NXM1122PWU C21 PWU COR CT RCMQ BG80 AR;C344;300;BAG;09/09/2021;10015080;LDC RUCAMALEN (AMEGHINO);A131;07/09/2021
858654632;10;137245594;LF;2291700;LDC SEMILLAS;00097078681;NXM1122PWU C21 PWU COR CT RCMQ BG80 AR;C344;174;BAG;09/09/2021;10017212;LDC ASA (RIOS ESGUNDO);A131;08/09/2021
858654651;10;137235777;LF;1159304;AGROIDEAS SA;00097029365;NEXT 22.6PWU C19 PWU COR RCMQ BG80UK AR;C049;600;ZPB;07/09/2021;10027676;AGROIDEAS SA;A131;03/09/2021
858654656;10;137236427;LF;1159304;AGROIDEAS SA;00099079305;507PWU R18 PWU COR FS RCMQ BG80UK AR;C344;180;BAG;10/09/2021;10027676;AGROIDEAS SA;A131;08/09/2021
858654657;10;137239107;LF;1159304;AGROIDEAS SA;00097071079;510PWU C18 PWU COR CT CMQL BG80UK AR;C344;500;ZPB;10/09/2021;10027676;AGROIDEAS SA;A131;08/09/2021
858654658;10;137239112;LF;1159304;AGROIDEAS SA;00097071079;510PWU C18 PWU COR CT CMQL BG80UK AR;C344;200;ZPB;10/09/2021;10027676;AGROIDEAS SA;A131;08/09/2021
858654670;10;4230335612;ZLC;1159304;AGROIDEAS SA;00097066383;GALANTMAX BTLHPE4X5L ARG;C077;2.000,000;L;08/09/2021;2086026;AGROIDEAS SA;A131;06/09/2021
858654670;20;4230335612;ZLC;1159304;AGROIDEAS SA;00097081951;ERRADIK BTLHPE4X5L ARG;C077;3.000,000;L;08/09/2021;2086026;AGROIDEAS SA;A131;06/09/2021
858654713;10;137205796;LF;1192007;AGRON ESTUDIO TECNICO RURAL;00097018141;DELEGATE BTLHPE12X300GR ARG;C077;7,200;KG;07/09/2021;1192007;AGRON ESTUDIO TECNICO RURAL;A131;07/09/2021
858654713;20;137205796;LF;1192007;AGRON ESTUDIO TECNICO RURAL;00000122767;TRACERNATURALYT BTLHPE4X4X1L EXARG;C077;16,000;L;07/09/2021;1192007;AGRON ESTUDIO TECNICO RURAL;A131;07/09/2021
858654730;10;4230335628;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00097059536;DOMARK40EW(3PP) BTLHPE1L CHL;L026;900,000;L;14/09/2021;1724451;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858654746;10;137160574;LF;421728;AGRONORT SA;00097029368;NEXT 22.6PWE R17 PWE COR RCMQ BG80UK AR;C049;138;ZPB;06/09/2021;421728;AGRONORT SA;A131;02/09/2021
858654761;10;4230335635;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00099034865;INDAR2F BTLHPE4X1GL CHL;L026;55,300;L;10/09/2021;10001585;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858654762;10;4230335636;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00000318880;INTREPIDSC BTLHPE12X1L CHL FMARG;L026;204,000;L;09/09/2021;1724455;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858654763;10;4230335637;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00000318880;INTREPIDSC BTLHPE12X1L CHL FMARG;L026;492,000;L;09/09/2021;1935431;MARTINEZ Y VALDIVIESO SA;A133;07/09/2021
858654799;10;4230335642;ZLC;423851;COAGRA SA;00000114811;LONTREL3A BTLPE4X1GL CHL;L026;30,320;L;14/09/2021;1967240;COAGRA SA;A133;07/09/2021
858654800;10;4230335643;ZLC;423851;COAGRA SA;00000317161;STARANEXTRA BTLCOX4X5L CHL;L026;140,000;L;14/09/2021;1967240;COAGRA SA;A133;07/09/2021
858654802;10;4230335644;ZLC;423851;COAGRA SA;00000114811;LONTREL3A BTLPE4X1GL CHL;L026;60,640;L;14/09/2021;1967228;COAGRA SA;A133;07/09/2021
858654817;10;137245130;LF;750070;ADECO AGROPECUARIA SA;00097059701;ENLIST BTLHPE20L ARG;C077;2.400,000;L;06/09/2021;2003492;FEDEA S.A.;A131;03/09/2021
858654824;10;137246568;LF;1261089;AGROPARTNERS SRL;00000317159;STARANEXTRA BTLCOX4X5L BOL;A987;2.000,000;L;06/09/2021;1261089;AGROPARTNERS SRL;A127;03/09/2021
858654824;20;137246568;LF;1261089;AGROPARTNERS SRL;00000317159;STARANEXTRA BTLCOX4X5L BOL;A987;10.000,000;L;06/09/2021;1261089;AGROPARTNERS SRL;A127;03/09/2021
858654862;10;4230335649;ZLC;421728;AGRONORT SA;00097050308;PANZERGOLDLS BTLHPE20L ARG;C077;3.600,000;L;07/09/2021;421728;AGRONORT SA;A131;06/09/2021
858654863;10;4230335650;ZLC;421728;AGRONORT SA;00097050308;PANZERGOLDLS BTLHPE20L ARG;C077;21.600,000;L;08/09/2021;421728;AGRONORT SA;A131;07/09/2021
858654864;10;4230335651;ZLC;421728;AGRONORT SA;00097050308;PANZERGOLDLS BTLHPE20L ARG;C077;21.600,000;L;08/09/2021;421728;AGRONORT SA;A131;07/09/2021
858654865;10;4230335652;ZLC;423851;COAGRA SA;00097050184;LOYANT BTLFPE4X5L CHL;L026;100,000;L;09/09/2021;1943775;COAGRA SA;A133;07/09/2021
858654866;10;4230335653;ZLC;423851;COAGRA SA;00097059536;DOMARK40EW(3PP) BTLHPE1L CHL;L026;72,000;L;09/09/2021;1893395;COAGRA SA;A133;07/09/2021
858654866;20;4230335653;ZLC;423851;COAGRA SA;00097073032;FONTELIS BTLHPE4X5L CHL;L026;80,000;L;09/09/2021;1893395;COAGRA SA;A133;07/09/2021
858654867;10;4230335654;ZLC;423851;COAGRA SA;00000337393;GALANTPLUSR BTLCOX20L CHL;L026;160,000;L;09/09/2021;1724344;COAGRA SA;A133;07/09/2021
858654867;20;4230335654;ZLC;423851;COAGRA SA;00000004465;GARLON4 BTLFPE4X1GL CHL;L026;75,800;L;09/09/2021;1724344;COAGRA SA;A133;07/09/2021
858654868;10;4230335655;ZLC;423851;COAGRA SA;00097073032;FONTELIS BTLHPE4X5L CHL;L026;20,000;L;09/09/2021;1724351;COAGRA SA;A133;07/09/2021
858654868;20;4230335655;ZLC;423851;COAGRA SA;00000114811;LONTREL3A BTLPE4X1GL CHL;L026;60,640;L;09/09/2021;1724351;COAGRA SA;A133;07/09/2021
858654869;10;4230335656;ZLC;1245485;NUTRIENTES SA;00000250801;SYSTHANE40WP PCHALU10X0.48KG ARG;C078;24,000;KG;03/09/2021;1245485;NUTRIENTES SA;A131;03/09/2021
858654870;10;4230335657;ZLC;423851;COAGRA SA;00000004465;GARLON4 BTLFPE4X1GL CHL;L026;60,640;L;09/09/2021;2067750;COAGRA SA;A133;07/09/2021
